Porositas,sw,Volume_Reservoir,Outcome
15.6473978,48.92932862,13042.60167,7068.297693
15.6321339,48.92932862,13044.73144,7062.555711
15.067247,49.92932862,13031.5864,6939.467449
15.7771716,37.92932862,13031.44137,5519.960628
19.61687,37.92932862,13030.73144,6862.982394
15.0519831,37.92932862,13039.5864,5269.530407
18.0214553,37.92932862,13037.86122,6308.274592
18.4565684,37.92932862,13038.9452,6461.119792
17.8764176,37.92932862,13029.57114,
17.7313799,37.92932862,13028.00625,6202.044379
18.4565684,37.92932862,13027.86122,6455.627406
18.166493,37.92932862,13029.71618,6355.07131
18.6016061,37.92932862,13042.72445,6513.780795
18.166493,37.92932862,13044.1443,6362.108435
18.6016061,37.92932862,13041.15957,6512.999265
18.7466438,38.92932862,13023.1443,6727.52802
18.7466438,38.92932862,13029.99926,6731.069172
18.7466438,38.92932862,13041.28934,6736.901429
15.0287501,38.92932862,13040.1443,5400.343629
15.593637,39.92932862,13024.1443,5740.210894
15.3035616,36.92932862,13034.99926,
15.3035616,36.92932862,13024.28934,5210.233477
15.8684485,36.92932862,13029.99926,5404.922749
15.5783731,36.92932862,13028.99926,5305.713483
15.4333354,36.92932862,13027.72445,5255.801953
15.5631092,37.92932862,13026.1443,5442.853263
15.5631092,37.92932862,13029.15957,5444.113166
19.5478453,37.92932862,13043.1443,6845.348591
18.8226568,37.92932862,13042.99926,6591.325665
17.9524306,39.92932862,13029.28934,6611.122647
17.9984675,39.92932862,13028.1443,6627.493606
17.4183167,39.92932862,13039.1443,6419.282717
17.8381659,39.92932862,13029.99926,6569.401704
17.6931282,39.92932862,13029.28934,6515.632515
17.3877889,39.92932862,13042.99926,6409.926617
17.8076381,39.92932862,13049.99926,6568.225237
17.0977135,39.92932862,13029.11377,6296.281562
17.0824496,39.055053,13028.09851,6152.443504
17.5022988,39.92932862,13027.80844,
17.6473365,39.92932862,13022.67866,6495.472079
19.922148,34.92932862,13028.24355,6417.287404
17.2122234,34.92932862,13029.80844,5545.037204
19.6320726,36.92932862,13028.67866,6686.166041
19.3491694,37.92932862,13026.8237,6767.29703
19.6239809,37.92932862,13028.67866,6864.388606
19.6239809,37.92932862,13029.25881,6864.694268
19.1888678,39.92932862,13046.24355,7075.645429
19.6239809,39.92932862,13029.09851,7226.578244
19.7537547,37.92932862,13049.53362,6920.843418
19.4636793,38.92932862,13027.53362,6987.201661
19.4484154,36.055053,13029.8237,6467.376154
19.15834,35.92932862,13029.53362,6348.557688
17.4178876,35.92932862,13027.67866,5770.996946
19.15834,35.92932862,13027.67866,6347.65387
19.3033777,35.92932862,13027.8237,6395.779819
17.9980384,35.92932862,13029.53362,5964.065
18.5635996,35.92932862,13029.53362,6151.476744
18.7086373,35.92932862,13028.96874,6199.269556
19.1437504,35.92932862,13049.67866,6353.531156
19.3880341,35.92932862,13046.8237,6433.197609
19.853675,37.92932862,13045.08325,6953.478879
18.853675,37.92932862,13047.64813,6604.540825
18.5635996,37.92932862,13029.5031,6493.882445
19.5788635,37.92932862,13046.93821,6858.20497
19.1437504,37.92932862,13042.08325,6703.295547
19.1437504,37.92932862,13042.93821,6703.734975
18.1284865,37.92932862,13048.22828,6350.785874
18.853675,37.92932862,13024.93821,6593.045375
18.853675,37.92932862,13028.22828,6594.710763
18.853675,36.92932862,13021.93821,6417.742384
18.1284865,36.92932862,13027.08325,6173.32824
18.9987127,36.92932862,13029.22828,6470.733326
18.5635996,36.92932862,13045.56348,6330.46582
18.4185619,36.92932862,13027.1131,6272.122544
19.1437504,36.92932862,13035.1131,6523.076327
18.1284865,50.92932862,13033.66272,8517.952188
18.4185619,50.92932862,13032.21235,8653.285606
17.9834488,50.92932862,13032.21235,8448.863678
17.5483357,50.92932862,13029.31159,8242.606671
18.5635996,50.92932862,13029.31159,8719.484999
15.3193159,50.92932862,13029.31159,7195.616587
15.0292405,50.92932862,13027.86122,7058.579816
15.6093913,50.92932862,13027.86122,7331.051384
15.8994667,50.92932862,13026.41084,7466.455842
15.3193159,50.92932862,13024.96046,
15.8842028,50.92932862,13026.41084,7459.287851
15.3193159,50.92932862,13024.96046,7193.213615
15.754429,50.92932862,13023.51008,7396.698048
15.8994667,50.92932862,13026.41084,7466.455842
15.6093913,50.92932862,13026.41084,7330.235225
15.7391651,50.92932862,13026.41084,7391.177542
15.6093913,50.92932862,13026.41084,7330.235225
15.7391651,50.92932862,13026.41084,7391.177542
15.8842028,50.92932862,13026.41084,7459.287851
15.8842028,50.92932862,13026.41084,7459.287851
15.754429,51.92932862,13026.41084,7543.61243
15.754429,51.92932862,13049.19757,7556.808257
15.754429,51.92932862,13039.34261,7551.101236
15.304052,51.92932862,13029.77772,7329.854748
15.0292405,51.92932862,13026.77772,7196.576821
15.6093913,51.92932862,13024.63269,7473.144523
15.3193159,33.07031802,13029.34261,4672.394117
15.3193159,34.07031802,13030.92276,4814.264542
15.3193159,32.07031802,13035.48765,4533.244487
15.67719,31.07031802,13031.77772,4493.210914
