id,Porositas,sw,Volume_Reservoir,Outcome
1,12.3350089,42.06572438,13036.51848,4788.160337
2,15.0602587,51.06996466,13034.12879,7096.09169
3,15.0602587,51.06996466,13036.12879,6939.467449
4,15.0602587,51.06996466,13017.32729,7086.944551
5,15.0605039,25.06325088,13029.61773,3481.350899
6,15.0757678,25.06325088,13028.572,3484.599577
7,15.0757678,35.06325088,13027.03758,4874.347707
8,15.2055416,25.06325088,13027.00711,3514.173232
9,15.2275486,48.92932862,13040.16655,6877.357655
10,15.266352,49.06572438,13036.68473,6912.256902
11,15.2816159,44.06572438,13034.92889,6213.239302
12,15.2891559,35.04318021,13029.41145,4941.41172
13,15.2891559,35.04318021,13024.41145,4939.515467
14,15.3503341,51.06996466,13031.12879,7231.104668
15,15.3725863,48.92932862,13029.33513,6937.095486
16,15.4113897,45.06572438,13029.68473,6727.52802
17,15.4801079,51.06996466,13018.32729,7285.073667
18,15.4953718,51.06996466,13048.32729,7309.061586
19,15.495617,25.06325088,13028.44222,3581.607471
20,15.5481518,48.92932862,13038.48017,7021.246505
21,15.5481518,48.92932862,13024.33513,7013.629374
22,15.5563048,58.92932862,13027.29706,8453.401072
23,15.5564274,49.06572438,13037.65408,7044.120175
24,15.5564274,47.06572438,13049.13511,6762.94044
25,15.6400417,40.92932862,13028.95942,5903.661932
26,15.6404095,51.06996466,13035.57917,7370.267145
27,15.6406547,25.06325088,13028.44222,3615.131022
28,15.6406547,25.06325088,13028.44222,3615.131022
29,15.6406547,25.06325088,13029.86207,3615.525002
30,15.6406547,35.06325088,13030.03758,5058.153406
31,15.6406547,35.06325088,13028.18262,6627.493606
32,15.7014651,49.06572438,13025.79912,7103.32999
33,15.7014651,49.06572438,13034.68473,7108.17556
34,15.7014651,49.06572438,13049.37253,7116.185225
35,15.716729,39.06572438,13029.66934,5662.792682
36,15.724269,58.06233216,13028.31233,8419.616748
37,15.724269,35.04318021,13026.97634,5081.089237
38,15.7701833,51.06996466,13035.57917,7431.420759
39,15.7701833,51.06996466,13037.12879,7432.304178
40,15.7701833,51.06996466,13019.32729,7422.155766
41,15.7850794,40.92932862,13026.97468,6495.472079
42,15.7856924,25.06325088,13027.15215,3648.293285
43,15.7856924,25.06325088,13028.9078,3648.78496
44,15.8076994,48.92932862,13029.19009,7133.366975
45,15.8465028,49.06572438,13027.08919,7169.654936
46,15.8465028,46.06572438,13028.68473,6732.108902
47,15.8465028,49.06572438,13029.64734,7171.062853
48,15.8693067,58.06233216,13025.45737,8495.415658
49,15.8693067,35.04318021,13031.64807,5129.795235
50,15.915221,51.06996466,13035.12879,6987.201661
51,15.915221,51.06996466,13012.32729,7486.3897
52,15.9154662,25.06325088,13029.00711,3678.809575
53,15.9154662,25.06325088,13028.61773,3678.699631
54,15.9307301,25.06325088,13029.572,3682.49743
55,15.9307301,25.06325088,13027.15215,3681.813517
56,15.9307301,25.06325088,13029.44222,3682.460751
57,15.9307301,25.06325088,13028.76277,3682.26872
58,15.9307301,25.06325088,13028.47269,3682.186736
59,15.9307301,35.06325088,13029.23764,3682.186736
60,15.9307301,35.06325088,13028.03758,6433.197609
61,15.9307301,35.06325088,13030.61773,5152.19254
62,16.0143444,58.06233216,13024.6024,8572.496879
63,16.0602587,42.06996466,13020.76185,6493.882445
64,16.0602587,49.06996466,13028.47177,7267.766726
65,16.0602587,51.06996466,13029.92215,7564.829359
66,16.0757678,35.06325088,13029.61773,5198.700511
67,16.1365782,44.06572438,13028.2037,6557.467126
68,16.1365782,47.06572438,13043.23435,7011.98071
69,16.1365782,48.06572438,13027.68473,7152.42644
70,16.1435665,48.92932862,13039.04506,7290.440182
71,16.1593821,35.04318021,13028.79311,5222.4185
72,16.2201925,40.92932862,13028.4098,6122.393744
73,16.2208055,35.06325088,13030.7475,5246.058709
74,16.2507203,50.92932862,13024.31104,7630.175848
75,16.2816159,44.06572438,13027.91363,6616.259196
76,16.2816159,45.06572438,13029.78398,6767.375863
77,16.2816159,47.06572438,13029.23435,7067.41134
78,16.2816159,47.06572438,13042.68473,7074.707192
79,16.2816159,47.06572438,13041.13511,7073.866636
80,16.3503341,49.06996466,13049.64734,7411.060744
81,16.3503341,50.06996466,13028.05192,7549.576984
82,16.3503341,51.06996466,13032.57917,7703.033413
83,16.4421627,37.92932862,13030.61773,5752.257543
84,16.4421627,37.92932862,13032.9078,5753.268475
85,16.4801079,51.06996466,13039.92215,7768.547542
86,16.4953718,49.06996466,13043.64734,7473.36379
87,16.4953718,43.06996466,13048.64734,6562.077257
88,16.4953718,51.06996466,13028.05192,7768.66453
89,16.4953718,51.06996466,13026.57917,7767.786325
90,16.4953718,51.06996466,13027.12879,7768.114065
91,16.55655,37.07031802,13048.37253,5668.807704
92,16.5872004,35.92932862,13031.19788,5497.253373
93,16.6251456,51.06996466,13046.92215,7841.12373
94,16.6251456,51.06996466,13047.64734,7841.559565
95,16.6251456,51.06996466,13043.48703,7839.059243
96,16.6251456,51.06996466,13048.76185,7842.229379
97,16.6404095,42.06996466,13048.76185,6466.133738
98,16.6858334,50.92932862,13025.29578,7835.066184
99,16.6863238,37.06007067,13036.8763,7329.854748
100,16.7701833,43.06996466,13047.51756,6670.823286
101,16.7701833,51.06996466,13028.47177,7898.344353
102,16.7701833,51.06996466,13038.48703,7904.415976
103,16.7701833,51.06996466,13029.21222,7898.793241
104,16.7701833,5.069964664,13043.35726,785.0030659
105,16.7701833,51.06996466,13042.02955,7906.563584
106,16.7701833,51.06996466,13042.02955,7906.563584
107,16.8313615,52.06007067,13037.8763,8086.676659
108,16.8313615,37.06007067,13032.42592,5754.26657
109,16.8617667,44.06572438,13049.78385,6863.514085
110,16.915221,42.06996466,13020.61681,6558.742833
111,16.915221,51.06996466,13047.92215,7978.547071
112,16.915221,51.06996466,13042.06719,7974.966878
113,16.945381,40.92932862,13028.55483,6396.191014
114,16.9762766,49.06572438,13048.68473,7693.547102
115,16.9763992,52.06007067,13036.16692,8155.291074
116,16.9763992,55.06007067,13037.8763,8626.376736
117,16.9763992,55.06007067,13036.42592,8625.417107
118,17.0061914,48.92932862,13029.90002,7674.615452
